Input_Condition,Generated_Feature,Encoding_Value,Evidence_Source
医生输入或患者表达包含：看图或找物品时注意力跟不上；对应标准术语：视觉注意受损,attention_impairment,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Visual attention impairment
医生输入或患者表达包含：对以前喜欢的事情不感兴趣；对应标准术语：淡漠,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Apathy
医生输入或患者表达包含：整天不想做事；对应标准术语：淡漠,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Apathy
医生输入或患者表达包含：主动性明显下降；对应标准术语：淡漠,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Apathy
医生输入或患者表达包含：家属觉得他变得很淡漠；对应标准术语：淡漠,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Apathy
医生输入或患者表达包含：容易烦躁坐立不安；对应标准术语：激越,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Agitation
医生输入或患者表达包含：最近常无故发脾气；对应标准术语：激越,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Agitation
医生输入或患者表达包含：情绪激动难以安抚；对应标准术语：激越,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Agitation
医生输入或患者表达包含：晚上或陌生环境下特别焦躁；对应标准术语：激越,behavioral_symptoms,1,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Agitation
医生输入或患者表达包含：做饭、购物、管钱这些事变困难；对应标准术语：工具性日常生活能力受损,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Instrumental ADL impairment
医生输入或患者表达包含：复杂日常事务需要家属帮忙；对应标准术语：工具性日常生活能力受损,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Instrumental ADL impairment
医生输入或患者表达包含：以前能独立完成的生活事务现在做不好；对应标准术语：工具性日常生活能力受损,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Instrumental ADL impairment
医生输入或患者表达包含：家里日常安排开始依赖别人；对应标准术语：工具性日常生活能力受损,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Instrumental ADL impairment
医生输入或患者表达包含：经常忘记吃药或吃重复；对应标准术语：用药管理困难,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Medication management difficulty
医生输入或患者表达包含：药盒不会按时整理；对应标准术语：用药管理困难,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Medication management difficulty
医生输入或患者表达包含：需要家属提醒用药；对应标准术语：用药管理困难,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Medication management difficulty
医生输入或患者表达包含：药怎么吃最近总弄错；对应标准术语：用药管理困难,functional_decline,1-3 according to functional impact level,Derived from AD_clinical_diagnostic_knowledge_base_v3_CN.csv standard term: Medication management difficulty
未采集到对应认知域或功能域阳性症状,all binary features,0,Default encoding rule for absent clinical feature in doctor input form
医生选择功能影响等级0、1、2、3,functional_decline,0=no functional impairment; 1=complex activity limitation; 2=instrumental ADL impairment; 3=basic ADL impairment,Linked to AD_functional_impact_dictionary_CN.csv
