Input_Symptom_ID,Patient_Expression_CN,Standard_Clinical_Term_CN,Standard_Clinical_Term_EN,Feature_Name,Symptom_Category_CN,Clinical_Importance_CN
AD_INPUT_CN_0027,最近发生在自己身上的事记不清,近期个人经历记忆困难,Autobiographical memory difficulty,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0028,当天经历的事情回忆困难,近期个人经历记忆困难,Autobiographical memory difficulty,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0029,自己觉得记性下降但生活还能自理,独立生活保留的主观记忆下降,Memory complaint with preserved independence,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0030,总觉得记忆不如以前但还能独立生活,独立生活保留的主观记忆下降,Memory complaint with preserved independence,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0031,主观感觉记性变差但日常事情还能完成,独立生活保留的主观记忆下降,Memory complaint with preserved independence,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0032,担心自己健忘但基本生活没受影响,独立生活保留的主观记忆下降,Memory complaint with preserved independence,memory_impairment,记忆功能,近期记忆下降、情景记忆损害或反复提问是典型AD相关认知损害常见的早期线索之一，需要结合病程进展和客观测评判断。
AD_INPUT_CN_0033,以前能安排的事情现在安排不好,执行功能障碍,Executive dysfunction,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0034,做事情没有以前有条理,执行功能障碍,Executive dysfunction,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0035,处理复杂事情变得困难,执行功能障碍,Executive dysfunction,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0036,多步骤任务容易乱,执行功能障碍,Executive dysfunction,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0037,不会安排一天的事情,计划能力下降,Impaired planning,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0038,出门前准备总是漏东西,计划能力下降,Impaired planning,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0039,计划家务或行程变困难,计划能力下降,Impaired planning,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0040,以前能规划的事情现在做不好,计划能力下降,Impaired planning,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0041,遇到问题不知道怎么处理,问题解决能力下降,Problem-solving difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0042,简单突发情况也处理不好,问题解决能力下降,Problem-solving difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0043,需要别人帮忙解决以前能解决的问题,问题解决能力下降,Problem-solving difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0044,事情一复杂就不知道下一步怎么办,问题解决能力下降,Problem-solving difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0045,算账和付钱变困难,财务管理困难,Financial management difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0046,不会管理银行卡和账单,财务管理困难,Financial management difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0047,买东西找零容易出错,财务管理困难,Financial management difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0048,以前会管钱现在经常弄错,财务管理困难,Financial management difficulty,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0049,做决定明显不如以前,判断力下降,Impaired judgment,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0050,容易做出不合适的判断,判断力下降,Impaired judgment,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0051,对事情轻重缓急分不清,判断力下降,Impaired judgment,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0052,需要家属帮忙把关决定,判断力下降,Impaired judgment,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0053,换一种做法就不适应,认知灵活性下降,Reduced cognitive flexibility,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0054,事情一变就反应不过来,认知灵活性下降,Reduced cognitive flexibility,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0055,不能灵活调整原来的计划,认知灵活性下降,Reduced cognitive flexibility,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0056,遇到变化时很难转过弯,认知灵活性下降,Reduced cognitive flexibility,executive_dysfunction,执行功能,计划、判断、问题解决和复杂任务处理下降可提示执行功能受损，若与记忆下降或功能受损并存，应进行多认知域评估。
AD_INPUT_CN_0057,说话时总找不到合适的词,找词困难,Word-finding difficulty,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0058,想说的话卡在嘴边,找词困难,Word-finding difficulty,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0059,经常用那个东西代替名字,找词困难,Word-finding difficulty,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0060,说话会停下来想词,找词困难,Word-finding difficulty,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0061,常叫不出熟悉物品的名字,命名困难,Anomia,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0062,看到东西说不出叫什么,命名困难,Anomia,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0063,熟人的名字一时想不起来,命名困难,Anomia,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0064,命名物品明显变困难,命名困难,Anomia,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0065,说话没有以前顺畅,言语流畅性下降,Reduced verbal fluency,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0066,表达变慢、停顿变多,言语流畅性下降,Reduced verbal fluency,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0067,一句话说得断断续续,言语流畅性下降,Reduced verbal fluency,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0068,聊天时词语越来越少,言语流畅性下降,Reduced verbal fluency,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0069,出现句子复述能力受损,句子复述能力受损,Sentence repetition impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0070,家属反映有句子复述能力受损,句子复述能力受损,Sentence repetition impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0071,门诊描述为句子复述能力受损,句子复述能力受损,Sentence repetition impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0072,别人说复杂一点就听不懂,语言理解受损,Language comprehension impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0073,需要反复解释才明白,语言理解受损,Language comprehension impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0074,听指令容易理解错,语言理解受损,Language comprehension impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0075,对话理解变困难,语言理解受损,Language comprehension impairment,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0076,出现言语迟缓或犹豫,言语迟缓或犹豫,Hesitant speech,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0077,家属反映有言语迟缓或犹豫,言语迟缓或犹豫,Hesitant speech,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0078,门诊描述为言语迟缓或犹豫,言语迟缓或犹豫,Hesitant speech,language_impairment,语言功能,找词、命名或言语流畅性下降可提示语言功能受损；若语言障碍为早期主导表现，需要同时考虑非典型AD和额颞叶变性相关疾病。
AD_INPUT_CN_0079,出现视觉空间能力受损,视觉空间能力受损,Visuospatial impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0080,家属反映有视觉空间能力受损,视觉空间能力受损,Visuospatial impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0081,门诊描述为视觉空间能力受损,视觉空间能力受损,Visuospatial impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0082,出现空间导航困难,空间导航困难,Navigation difficulty,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0083,家属反映有空间导航困难,空间导航困难,Navigation difficulty,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0084,门诊描述为空间导航困难,空间导航困难,Navigation difficulty,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0085,分不清自己在什么位置,地形定向障碍,Topographical disorientation,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0086,熟悉街区也会迷失方向,地形定向障碍,Topographical disorientation,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0087,到常去的地方也找不到路,地形定向障碍,Topographical disorientation,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0088,走到熟悉地方也不知道怎么回去,地形定向障碍,Topographical disorientation,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0089,看东西容易认错,视觉感知受损,Visuoperceptual impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0090,复杂画面看不清楚重点,视觉感知受损,Visuoperceptual impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0091,看见物品但判断不准,视觉感知受损,Visuoperceptual impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0092,视觉识别比以前差,视觉感知受损,Visuoperceptual impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0093,停车或摆放东西距离判断不准,空间判断能力下降,Spatial judgment impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0094,上下楼梯时空间判断差,空间判断能力下降,Spatial judgment impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0095,拿杯子容易碰倒,空间判断能力下降,Spatial judgment impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0096,走路容易撞到旁边物体,空间判断能力下降,Spatial judgment impairment,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0097,以看东西和空间判断困难为主,后皮质萎缩表型,Posterior cortical atrophy phenotype,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0098,主要表现为视觉空间处理变差,后皮质萎缩表型,Posterior cortical atrophy phenotype,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0099,读字看物和找方向都变困难,后皮质萎缩表型,Posterior cortical atrophy phenotype,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0100,视觉相关问题比记忆问题更突出,后皮质萎缩表型,Posterior cortical atrophy phenotype,visuospatial_impairment,视觉空间功能,导航困难、熟悉地点迷路或空间判断下降提示视觉空间能力受损，可见于AD相关认知损害或后部皮质受累表现。
AD_INPUT_CN_0101,做饭、购物、管钱这些事变困难,工具性日常生活能力受损,Instrumental ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0102,复杂日常事务需要家属帮忙,工具性日常生活能力受损,Instrumental ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0103,以前能独立完成的生活事务现在做不好,工具性日常生活能力受损,Instrumental ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0104,家里日常安排开始依赖别人,工具性日常生活能力受损,Instrumental ADL impairment,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0105,经常忘记吃药或吃重复,用药管理困难,Medication management difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0106,药盒不会按时整理,用药管理困难,Medication management difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0107,需要家属提醒用药,用药管理困难,Medication management difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0108,药怎么吃最近总弄错,用药管理困难,Medication management difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0109,做饭步骤容易乱,烹饪或备餐困难,Cooking difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0110,烧菜时常忘记已经放过什么,烹饪或备餐困难,Cooking difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0111,准备饭菜变得吃力,烹饪或备餐困难,Cooking difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0112,做饭需要别人看着,烹饪或备餐困难,Cooking difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0113,一个人坐车容易弄错路线,独立出行或交通使用困难,Transportation difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0114,外出不敢自己走,独立出行或交通使用困难,Transportation difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0115,不会像以前那样独立出行,独立出行或交通使用困难,Transportation difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0116,坐公交或打车需要家属协助,独立出行或交通使用困难,Transportation difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0117,买东西容易漏买或重复买,购物困难,Shopping difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
AD_INPUT_CN_0118,购物时算不清钱,购物困难,Shopping difficulty,functional_decline,日常生活能力,日常生活能力下降是区分MCI与痴呆阶段的重要依据，尤其应评估工具性和基本日常生活活动受损程度。
